X,Y,osm_id,code,fclass,name
-70.7669637,42.0024288,289333778,6101,rail,Plymouth Branch
-70.764225,42.0023929,289333778,6101,rail,Plymouth Branch
-70.7597477,42.0023642,289333778,6101,rail,Plymouth Branch
-70.7554359,42.0023254,289333778,6101,rail,Plymouth Branch
-70.754094,42.0023039,289333778,6101,rail,Plymouth Branch
-70.753581,42.0022922,289333778,6101,rail,Plymouth Branch
-70.753119,42.0022611,289333778,6101,rail,Plymouth Branch
-70.7521489,42.0021741,289333778,6101,rail,Plymouth Branch
-70.7513254,42.0020941,289333778,6101,rail,Plymouth Branch
-70.7504619,42.0019662,289333778,6101,rail,Plymouth Branch
-70.7486585,42.0016509,289333778,6101,rail,Plymouth Branch
-70.7364034,41.9993273,289333778,6101,rail,Plymouth Branch
-70.7302707,41.9981537,289333778,6101,rail,Plymouth Branch
-70.7283083,41.9977782,289333778,6101,rail,Plymouth Branch
-70.7276225,41.997638,289333778,6101,rail,Plymouth Branch
-70.7268998,41.9974653,289333778,6101,rail,Plymouth Branch
-70.7261194,41.9972542,289333778,6101,rail,Plymouth Branch
-70.7255054,41.9970432,289333778,6101,rail,Plymouth Branch
-70.7244309,41.9966466,289333778,6101,rail,Plymouth Branch
-70.723654,41.9963069,289333778,6101,rail,Plymouth Branch
-70.8312392,42.0182157,289333779,6101,rail,
-70.8306751,42.0179632,289333779,6101,rail,
-70.8303804,42.0178251,289333779,6101,rail,
-70.8295048,42.017391,289333779,6101,rail,
-70.820827,42.013039,289333779,6101,rail,
-70.8162357,42.0107336,289333779,6101,rail,
-70.8150465,42.0101367,289333779,6101,rail,
-70.8134031,42.0093091,289333779,6101,rail,
-70.8110255,42.0081152,289333779,6101,rail,
-70.8099691,42.0075463,289333779,6101,rail,
-70.8560303,42.0305784,289333785,6101,rail,
-70.8584089,42.0317656,289333785,6101,rail,
-70.8587404,42.0319512,289333785,6101,rail,
-70.8591447,42.0321907,289333785,6101,rail,
-70.8929717,42.05128,289333788,6101,rail,Plymouth Branch
-70.8928597,42.0512001,289333788,6101,rail,Plymouth Branch
-70.8928597,42.0512001,289333789,6101,rail,Plymouth Branch
-70.890854,42.0497924,289333789,6101,rail,Plymouth Branch
-70.8893384,42.0487672,289333789,6101,rail,Plymouth Branch
-70.8836863,42.0447294,289333789,6101,rail,Plymouth Branch
